的	20570
人	6450
是	6440
一	5287
中	4449
有	4063
不	3849
在	3813
为	3610
年	3596
和	3231
国	2904
分	2901
生	2859
个	2842
下	2837
上	2783
能	2729
以	2680
发	2610
大	2573
于	2509
时	2505
了	2464
化	2419
成	2312
业	2239
数	2150
用	2140
文	2125
要	2116
多	2115
地	2111
量	2069
最	2060
出	2012
行	1997
物	1983
法	1957
现	1950
体	1944
同	1888
可	1874
对	1873
会	1814
产	1804
作	1785
比	1732
与	1732
动	1698
关	1693
学	1691
理	1681
高	1627
小	1622
题	1619
这	1619
性	1602
之	1592
本	1587
过	1586
工	1577
到	1567
种	1564
项	1532
定	1501
度	1498
方	1471
新	1459
进	1450
间	1441
全	1433
列	1429
部	1375
其	1325
合	1320
重	1309
水	1308
来	1299
家	1289
少	1288
相	1270
当	1250
自	1249
展	1244
力	1220
元	1206
实	1196
面	1195
品	1187
民	1160
正	1159
类	1157
代	1146
而	1145
机	1135
经	1133
后	1124
公	1119
某	1107
加	1104
长	1098
形	1098
从	1090
增	1078
主	1070
平	1063
次	1060
所	1060
如	1054
系	1052
我	1049
天	1040
市	1034
等	1012
推	1011
制	1002
电	993
者	983
因	977
提	971
说	967
月	962
资	962
区	952
点	941
通	938
应	935
质	933
线	927
子	914
据	906
规	902
期	900
问	894
两	890
确	888
开	886
使	881
甲	880
变	877
果	870
们	867
技	863
共	860
内	858
每	857
明	856
程	852
务	850
得	841
前	840
术	840
保	833
基	832
三	822
表	822
式	819
就	813
选	810
位	807
建	803
乙	801
科	801
字	800
原	799
收	794
都	777
则	775
需	771
事	770
员	767
将	762
活	760
利	756
车	753
场	752
更	752
传	746
第	745
研	739
无	735
社	734
气	731
件	725
特	725
已	722
意	721
均	718
设	717
断	715
也	714
心	712
万	705
统	705
处	687
速	684
料	684
政	683
知	682
总	677
或	676
然	674
他	669
流	663
解	649
价	647
述	646
运	645
信	644
风	642
求	641
向	638
画	637
强	632
段	631
持	629
各	626
口	624
海	621
图	620
外	620
源	617
填	614
根	613
结	609
创	608
好	606
常	601
此	595
义	595
费	593
名	593
球	593
由	592
造	591
单	582
米	582
